cart_id,resouce_id_cnt,uniq_resouce_id_cnt
217369,3,2
220566,3,2
229465,2,1
230533,2,1
231770,3,2
232518,10,8
233342,5,4
235514,2,1
236793,4,3
238332,2,1
238731,4,3
240555,3,2
241365,2,1
241514,5,4
242620,4,3
243386,3,2
243828,2,1
245943,3,2
246716,2,1
246980,3,2
247269,2,1
248176,2,1
251284,2,1
251991,3,2
255126,5,4
255629,2,1
256095,3,2
258060,2,1
259125,3,2
262752,3,2
264628,5,4
266991,2,1
270044,4,3
275092,3,2
278042,2,1
278485,6,5
279120,2,1
279264,3,2
280027,3,1
281025,2,1
281620,4,3
282321,3,1
287106,3,2
288194,2,1
289215,2,1
291234,2,1
292610,3,2
293464,3,2
294152,3,2
294650,3,2
295418,5,4
296311,2,1
297751,4,2
297849,3,2
298665,3,2
298906,2,1
300114,2,1
300673,2,1
301472,8,6
303511,2,1
303613,2,1
303963,3,2
304114,2,1
304711,3,2
306073,2,1
307011,2,1
307222,2,1
309087,2,1
309280,2,1
309655,2,1
309699,2,1
311028,4,3
311355,2,1
312900,3,2
313301,3,2
316627,2,1
318053,3,2
318941,2,1
320815,2,1
322962,3,2
323028,3,1
324003,4,3
324039,2,1
324085,2,1
324844,2,1
325052,6,5
325690,3,2
328067,2,1
328512,2,1
329879,4,3
333727,2,1
335004,2,1
335445,2,1
335509,5,3
337025,2,1
338356,3,2
341849,6,5
343669,3,2
344819,6,5
348394,2,1
348864,2,1
350648,3,2
352867,2,1
355020,2,1
355459,2,1
355534,2,1
356745,2,1
356829,2,1
357897,2,1
358475,2,1
360878,4,3
361202,2,1
364772,2,1
366814,2,1
367375,2,1
367816,2,1
371546,3,2
372728,3,2
373150,2,1
373669,2,1
373852,2,1
374175,2,1
375213,2,1
376071,2,1
376680,4,3
376907,2,1
377085,2,1
377769,3,2
378816,3,2
380224,2,1
380340,2,1
381381,2,1
381627,2,1
382124,3,2
384518,2,1
384533,3,2
384990,2,1
385399,2,1
385874,2,1
388175,3,2
388654,3,2
388745,2,1
388850,2,1
388994,2,1
390530,2,1
391392,2,1
391932,2,1
393167,4,3
393282,5,4
396151,2,1
399104,3,2
403674,3,2
412530,2,1
413365,2,1
416234,3,2
417924,2,1
418162,2,1
418418,2,1
419063,2,1
424366,2,1
426843,2,1
426941,2,1
428010,2,1
428513,2,1
430142,2,1
432600,2,1
434000,3,2
435072,2,1
436072,3,2
436530,3,2
440427,2,1
442646,2,1
442656,2,1
443138,2,1
443598,2,1
444205,2,1
444438,2,1
444683,4,3
445013,2,1
448255,2,1
449087,2,1
449294,2,1
449404,2,1
449881,2,1
450218,2,1
450228,2,1
450816,2,1
450963,2,1
450969,2,1
453209,3,2
454759,2,1
464581,2,1
465752,3,2
475626,2,1
506323,2,1
525250,2,1
534910,2,1
594964,2,1
598919,2,1
615359,2,1
691795,2,1
702109,2,1
748893,2,1
783224,2,1
869690,2,1
958009,2,1
